Name,Address,Wards,Cuisine,Price,WebsiteUrl,Award,FacilitiesAndServices,Description,,,
MAKIYAKI GINZA ONODERA,"9F, 5-14-14 Ginza, Chuo-ku, Tokyo, 104-0061, Japan",Chuo,French,¥¥¥,https://onodera-group.com/makiyaki/,1 Star,"Air conditioning,Counter dining,Interesting wine list","The lights suddenly go out; a flame flickers in the darkness. A curtain rises, as in a theatre. Chef Keiichi Terada has introduced firewood, the original heat source, into French cuisine. The first item, wagyu beef with wasabi, serves as the introduction. Paella and cheesecake recall Terada’s experience in the Basque country. Sayama tea concludes the meal, steeped in tea leaves sourced from his birthplace and roasted moments earlier. His passion for cooking blazes like the flames in a kiln.",,,
TROIS VISAGES,"7-16-21 Ginza, Chuo-ku, Tokyo, 104-0061, Japan",Chuo,French,¥¥¥,https://troisvisages.jp/,1 Star,"Air conditioning,Counter dining","‘Trois Visages’ means ‘three faces’, framing the restaurant as a dramatic tableau of food producers, guests and staff in which food and people co-star. The cuisine is an interplay of three elements: the stars, who leave a vivid impression of the cuisine; dissemination, the spread of regional food culture; and intention, which limits ingredients to those with significance. Chef Ryohei Kuninaga’s passion is on display when he elevates supporting ingredients to starring roles.",,,
CRAFTALE,"2F, 1-16-11 Aobadai, Meguro-ku, Tokyo, 153-0042, Japan",Meguro,French,¥¥¥,https://www.craftale-tokyo.com/,1 Star,Air conditioning,"The name is a mashup of ‘craft’ and ‘tale’. Each dish is a story, woven by the chef out of his deep sensitivity and respect for nature, ingredients and producers. The speciality, scallop chips, are dressed in truffles in a paean to the blessings of both sea and forest. The Amazon cacao dessert is served on plates decorated with old-growth forest scenes. The cuisine uses a unified colour scheme for a stronger visual impact.",,,
LA TABLE de Joël Robuchon,"Yebisu Garden Place, 1-13-1 Mita, Meguro-ku, Tokyo, 153-0062, Japan",Meguro,French,¥¥¥,https://www.robuchon.jp/,2 Stars,"Air conditioning,Interesting wine list,Terrace","The restaurant’s name simply means “Joël Robuchon’s dining table”. The informal service melts into the elegant lavender-schemed dining room. True to Robuchon’s conviction that “cooking is an art form that begins with love”, the spirit of gourmet food is everywhere on display. The menu consists of simple, modern dishes and a series of specialities. A place to let time slip through your fingers.",,,
Édition Koji Shimomura,"1F, Roppongi T-Cube, 3-1-1 Roppongi, Minato-ku, Tokyo, 106-0032, Japan",Minato,French,¥¥¥,https://www.koji-shimomura.jp/,1 Star,"Air conditioning,Interesting wine list,Restaurant offering vegetarian menus","It is now a quarter-century since Koji Shimomura returned to Japan from France. As someone who has travelled with French cuisine through many transitions, he is a firm proponent of going “forwards and deeper”. He seeks out new ingredients with which to create original cuisine and goes deeper by constantly tinkering with his long-standing specialities, deepening his knowledge and skill. Each new edition impresses, keeping an eye on the horizon while respecting the classics.",,,
Florilège,"2F,  Azabudai Hills Garden Plaza D, 5-10-7 Toranomon, Minato-ku, Tokyo, 105-0001, Japan",Minato,French,¥¥¥,https://www.aoyama-florilege.jp/,2 Stars,"Air conditioning,Interesting wine list,Wheelchair access","After a debut in Minamiaoyama and an engagement in Gaiemmae, Florilège has taken a new stage in Azabudai. In his latest foray, Chef Hiroyasu Kawate enters the world of table d’hôte: guests are seated around a single large table to share the joy of good food and conversation. Another change is a switch to plant-based cuisine, with the accent on vegetables. With his eye on the future, Kawate is promoting the cause of sustainability.",,,
L'aube,"1F, Ark Hills Sengokuyama Mori Tower, 1-9-10 Roppongi, Minato-ku, Tokyo, 106-0032, Japan",Minato,French,¥¥¥,https://www.restaurant-laube.com/,1 Star,"Air conditioning,Interesting wine list","The sky-blue colour scheme connotes the evening sky; Möbius strips placed on each table symbolise eternity. The cuisine of Chef Hideaki Imahashi and the desserts of the pâtissier Shoko Hirase complement each other in a contemporary interior. The prix fixe menus in which the two partners co-star are beautiful and burst with creativity, weaving together a tale of food producers, terroir and the seasons. L’aube’s recent move from Higashi-azabu to Roppongi opens a second chapter for this French restaurant.",,,
le sputnik,"7-9-9 Roppongi, Minato-ku, Tokyo, 106-0032, Japan",Minato,French,¥¥¥,https://le-sputnik.jp/,1 Star,"Air conditioning,Interesting wine list","The name ‘Sputnik’ recalls the world’s first artificial satellite. It is also the Russian word for ‘fellow traveller’, an image that appeals to Yujiro Takahashi: he is the captain, he says, who guides diners in navigating each course. Takahashi’s life work is the discovery of previously unknown ingredients, creating cuisine that transcends time. Beets and foie gras, arranged like red roses, are a striking innovation. Take a glimpse into the unfamiliar world of his imagination.",,,
Mētis Roppongi,"5-18-22 Roppongi, Minato-ku, Tokyo, 106-0032, Japan",Minato,French,¥¥¥,https://metis-roppongi.jp,1 Star,"Air conditioning,Counter dining","This French restaurant with counter service exemplifies ‘Wakon Yosai’ - ‘Japanese spirit with Western learning’. In the kitchen, the chef works the blazing wood fire with the skills he honed in Paris to fashion a harmonious blend of French cuisine with Japanese ingredients and wood-fire cooking. Seafood is wreathed in smoky fragrances, wagyu beef swaddled in flavour from the wood flame and steam. He finds clever ways to expand the possibilities of Japanese ingredients, by for example using sake lees in sauces.",,,
NéMo,"B1F, 6-15-4 Minamiaoyama, Minato-ku, Tokyo, 107-0062, Japan",Minato,French,¥¥¥,https://restaurantnemo.net/,1 Star,"Air conditioning,Interesting wine list","As both a cook and an angler, Kenichi Nemoto has an abiding love for the sea. In his set menus the eye is immediately drawn to the fish dishes. Consider, for example, the conger eel frites and celeriac – deep-fried in a nutty batter, this dish is a delight of texture and fragrance. Nemoto also uses unusual fish that are delivered to him directly, ones you won’t see at the fish market. When that natural bounty appears in front of you on a plate, you’ll want the moment to linger forever.",,,
Alchimiste,"5-17-10 Shirokanedai, Minato-ku, Tokyo, 108-0071, Japan",Minato,French,¥¥¥,https://alchimiste.jp/,1 Star,"Air conditioning,Interesting wine list","Alchemy is the secret art of changing base metals into gold; and Chef Kenichi Yamamoto calls himself an alchemist, transforming ingredients into beautiful dishes. His Jerusalem artichoke espuma garnished with uni and peanut crumble is one exquisite example of this, his secret art, at work. His creations are based on French traditional recipes and are light and delicate.",,,
amarantos,"2F, 2-18-5 Akasaka, Minato-ku, Tokyo, 107-0052, Japan",Minato,French,¥¥¥,https://www.amarantos2021.com/,1 Star,"Air conditioning,Counter dining","Shintaro Miyazaki, who has followed the path of gastronomy all his life, has now set out on his own. ‘Amarantos’ refers to the amaranth, a plant that ‘neither withers nor fades’, a reflection, Miyazaki says, of his own way of life. The consommé, a rich reduction from extract of turnip, is representative of the fare. The touch is light but the techniques are classic. Savoury chiffon cake testifies to Miyazaki’s experience as a pâtissier.",,,
Crony,"1-20-3 Higashiazabu, Minato-ku, Tokyo, 106-0044, Japan",Minato,French,¥¥¥,http://www.fft-crony.jp/,2 Stars,"Air conditioning,Interesting wine list","The menu lists the ingredients, their producing regions and the names of their producers, attesting to chef Michihiro Haruta’s gratitude to them. To make his ingredients stand out, Haruta’s presentations are kept simple. Each dish is an interplay between the sensibilities he acquired in France and northern Europe and his own approach. The service team, led by Kazutaka Ozawa along with the chefs, creates a fun atmosphere with the customers.",,,
L'ATELIER de Joël Robuchon,"2F, Roppongi Hills Hillside, 6-10-1 Roppongi, Minato-ku, Tokyo, 106-0032, Japan",Minato,French,¥¥¥,https://www.robuchon.jp/,1 Star,"Air conditioning,Counter dining,Interesting wine list","This is where it all began for the worldwide phenomenon that is L’Atelier de Joël Robuchon. The open kitchen is bustling with chefs. The counter seating, an homage to both sushi shops and Spanish tapas bars, celebrates the diversity of culinary culture. The menu ranges from specialities of years gone by to new arrangements incorporating seasonal Japanese ingredients. This really is Joël Robuchon’s atelier of modern cuisine.",,,
Ryuzu,"B1F, 4-2-35 Roppongi, Minato-ku, Tokyo, 106-0032, Japan",Minato,French,¥¥¥,http://www.restaurant-ryuzu.com/,2 Stars,"Air conditioning,Counter dining,Interesting wine list,Wheelchair access","A stone statue of a dragon’s head watches over the restaurant entrance like a guardian spirit. Chef Ryuta Iizuka leads a kitchen team that incorporates Japanese elements into French cooking. As a native of Niigata, he supports his home region’s producers, sourcing shiitake mushrooms from Minamiuonuma and pork from Tsumari. Even the knives from Tsubamesanjo display Iizuka’s hometown pride. The restaurant’s name refers to the Japanese word for a watch crown; thinking about his guests leaving with a smile is what keeps him ticking.",,,
au deco,"2-23-3 Ebisu, Shibuya-ku, Tokyo, 150-0013, Japan",Shibuya,French,¥¥¥,,1 Star,"Air conditioning,Counter dining,Interesting wine list","The second chef to run ‘au deco’ is all about getting back to basics. He passes on the joys of classic cooking to the next generation, just as his mentor taught him to do. The ‘Baked Pie of Scrambled Eggs cooked with Snow Crab and Crab Innards’ is a speciality handed down from the first-generation chef. The emphasis on à la carte dishes and a full list of vintage wines offer a glimpse into how French restaurants were done in the good old days.",,,
l'élan,"4F, GYRE, 5-10-1 Jingumae, Shibuya-ku, Tokyo, 150-0001, Japan",Shibuya,French,¥¥¥,https://www.elantokyo.com/,1 Star,"Air conditioning,Interesting wine list,Wheelchair access","Ryoma Shida listens to his ingredients, calling up his own memories to generate ideas for his cooking. For example, his plate of sautéed ayu (sweetfish) and vegetables expresses a lushly verdant spectacle. Ingredients are bound to each other by their fragrance, bitterness and sweetness. In the kichiji rockfish and soupe de poisson, the unique flavour of the viscera recalls the home cooking of southern France. Working with his ingredients stirs Shida’s élan, the excitement of the soul.",,,
LATURE,"B1F, 2-2-2 Shibuya, Shibuya-ku, Tokyo, 150-0002, Japan",Shibuya,French,¥¥¥,https://www.lature.jp/,1 Star,"Air conditioning,Counter dining","Takuto Murota fulfils all responsibilities regarding his ingredients. As a licensed hunter, he can ensure his game is in the best condition; in his kitchen, he serves it in delicious dishes, honouring the animal’s precious life. He uses time-honoured techniques like pâté en croute and baking in pie crust to draw out the meat’s true flavour. His venison macarons, suggested by boudin noir, are an innovation born of his philosophy of using every part of the animal.",,,
MONOLITH,"2-6-1 Shibuya, Shibuya-ku, Tokyo, 150-0002, Japan",Shibuya,French,¥¥¥,https://neo-monolith.com/,1 Star,Air conditioning,"Go Ishii made his way to France in the 1990s. There he experienced a new French cuisine, cultivated by fusing classic cooking with the food cultures of various countries. Chef Ishii calls his approach ‘Neo Classic’ for this reason. His speciality of ‘Monolith Egg’ is a study in contrasts between salty and sweet, hot and cold. His eternal standard is constant creativity. The pie pastry dishes, a legacy of the classics, are recommended but require reservations.",,,
recte,"2F, 2-17-5 Ebisunishi, Shibuya-ku, Tokyo, 150-0021, Japan",Shibuya,French,¥¥¥,http://www.recte.jp/,1 Star,Air conditioning,"Controlling heat is an important element in French cooking. Chef Sasaki is focused on drawing out the aromas and flavours of his ingredients. Using fresh, vibrant Japanese ingredients, Sasaki hit upon charcoal roasting in a kamado, a traditional Japanese stove. Built of stone to lock in the umami from the effects of far-infrared radiation, the stove roasts the food in the smoky fragrance of the charcoal. Sasaki calls his approach “Kamado French”, the start of a fresh gastronomical adventure.",,,
Simplicité,"2F, 3-9 Sarugakucho, Shibuya-ku, Tokyo, 150-0033, Japan",Shibuya,French,¥¥¥,http://www.simplicite123.com/,1 Star,"Air conditioning,Counter dining","Chef Kaoru Aihara weaves culinary creations with hints of the sea, drawn from his experiences in the Shonan region of Kanagawa Prefecture and the Brittany region of France. Seafood charcuterie substitutes mackerel for ham and sardine for fromage de tête. Depending on the fish, ingredients may be aged for weeks to bring out their flavour. From the seaweed sauce wafts the briny tang of the sea.",,,
Sincère,"B1F, 3-7-13 Sendagaya, Shibuya-ku, Tokyo, 151-0051, Japan",Shibuya,French,¥¥¥,,1 Star,Air conditioning,"The appeal of Sincère lies in its gloriously original cuisine and the fun and engaging customer service. All staff, including Chef Shinsuke Ishii, provide service. Ishii interprets classical dishes with modern panache, striking an original note. Amuse-bouches that brighten the table; sea bass wrapped in pie pastry, resembling taiyaki (fish-shaped stuffed pancakes); and small playful desserts are as entertaining to look at as they are to eat.",,,
abysse,"1-30-12 Ebisunishi, Shibuya-ku, Tokyo, 150-0021, Japan",Shibuya,French,¥¥¥,https://abysse.jp/,1 Star,"Air conditioning,Interesting wine list","Chef Kotaro Meguro draws on the character of Japan and his theme is ‘ocean and forest’ and their connection within nature. The pure water of rural hills forms rivers, irrigating the land as they flow into the sea and begin the cycle anew: he expresses this providence in his cooking. Bounty of sea and mountain are intermingled on a single plate, a blend of the foods of water and soil. Meat is forgotten in favour of a celebration of seafoods and good things gathered from the forest.",,7,4
ZURRIOLA,"4F, Kojun Bldg, 6-8-7 Ginza, Chuo-ku, Tokyo, 104-0061, Japan",Chuo,Hispanic,¥¥¥,http://zurriola.jp/,2 Stars,"Air conditioning,Counter dining,Interesting wine list","Around the dawn of the 21st century, Seiichi Honda was travelling in Basque country. Profoundly impressed by the depth and richness of Spanish cooking, which had by then captured the world’s attention, he switched his focus as a chef from French cuisine to Spanish. Using a local char-grilling technique called asado, Honda created his masterpiece: ravioli of smoked caviar. Honda moves forward by interpreting traditions and finding his own approach.",,,
TOKi,"2F, 1-8-4 Shimbashi, Minato-ku, Tokyo, 105-0004, Japan",Minato,Hispanic,¥¥¥,,1 Star,Air conditioning,"At the helm of this restaurant is Chef Kawashima, owner-chef of akordu in Nara. The name comes from the Basque word for ‘place’. Ingredients from Nara are the star here, interpreted with the creative flair Kawashima learned in Spain. The names on the menu are fun as well, bursting with the seasonal scenery and terroir of Nara. Everything in the interior evokes the wonder of Yamato, from the Yoshino hinoki wood accents to the vessels of Akahada ware and the stones from Yakushiji Temple.",,,
Aroma Fresca,"12F, 2-6-5 Ginza, Chuo-ku, Tokyo, 104-0061, Japan",Chuo,Italian,¥¥¥,http://www.aromafresca-afsa.com/,1 Star,"Air conditioning,Interesting wine list","Italian as only Japan can do, with the spotlight squarely on Japan-sourced ingredients. Shinji Harada creates a cuisine from the interplay of his own sensibilities and experience. Only seasonal ingredients are used, as in the pasta of bamboo shoots and matsutake mushrooms or herb-steamed conger eel. Using traditional cooking methods, Harada expresses the flavours of the season with freewheeling creativity. The restaurant’s name, which means ‘the aroma of freshness’, encapsulates the importance of great ingredients.",,,
FARO,"10F, 8-8-3 Ginza, Chuo-ku, Tokyo, 104-0061, Japan",Chuo,Italian,¥¥¥,https://faro.shiseido.co.jp/,1 Star,"Air conditioning,Interesting wine list,Restaurant offering vegetarian menus","The chef was replaced on 1 February 2024. ‘FARO’ means ‘lighthouse’, and indeed Faro shines its light on a new era of Italian cuisine in Ginza, illuminating the richness of Japan’s topography and culture. Visiting food-producing regions and workshops where serving vessels are made enables the chef to reflect the passions of farmers and artisans in his fare. The sensibilities of the chef and his pâtissière also reside in the vegan set menu influenced by shojin-ryori, the vegetarian cuisine of Buddhist monks.",,,
Il Ristorante - Niko Romito,"40F, Bulgari Hotel Tokyo, 2-2-1 Yaesu, Chuo-ku, Tokyo, 104-0028, Japan",Chuo,Italian,¥¥¥,https://www.bulgarihotels.com/ja_JP/tokyo,1 Star,"Air conditioning,Interesting wine list,Wheelchair access","Contemporary dining in the Bulgari style. Décor includes ornaments that recall the baths of ancient Rome and portraits of actresses that made Bulgari famous. Mauro Aloisio runs the kitchen in strict adherence to the culinary philosophy of supervisor Niko Romito, the eminent chef. Simple yet richly flavourful dishes deliver authentic Italian tastes.",,,
Gucci Osteria da Massimo Bottura Tokyo,"4F, 6-6-12 Ginza, Chuo-ku, Tokyo, 104-0061, Japan",Chuo,Italian,¥¥¥,https://www.gucciosteria.com/ja,1 Star,"Air conditioning,Interesting wine list,Terrace","A restaurant supervised by an innovator of the Italian culinary world, Massimo Bottura. In command of the kitchen is Antonio Iacoviello, who left his homeland to start anew in Tokyo. Iacoviello’s cuisine shines out of careful attention to ingredients, from both Italian and Japanese perspectives. “A Parmigiana that Wants to Become a Ramen” is his description of a creation based on eggplant and ramen. The quirky names he appends to his dishes stoke our curiosity.",,,
Principio,"2F, 2-4-8 Azabujuban, Minato-ku, Tokyo, 106-0045, Japan",Minato,Italian,¥¥¥,https://www.principio.net/,1 Star,Air conditioning,The charm of Principio is the feeling of being invited into the Negishi’s home. The proprietress’ graceful service brings a mellow ambience to the dinner table. The chef grills slabs of meat over charcoal and kneads pasta by hand. Ragù larded with seasonal vegetables is served with northern-Italian tagliatelle; clams and salted and dried grey mullet roe with southern-style short pasta. The cooking styles of each region are harmonised with fresh ingredients in season.,,,
PRISMA,"6-4-6 Minamiaoyama, Minato-ku, Tokyo, 107-0062, Japan",Minato,Italian,¥¥¥,,2 Stars,"Air conditioning,Interesting wine list","Tomofumi Saito is a culinary artist who is always setting his sights on higher goals. Tagliolini with caviar and red wine sauce is his speciality. He prepares the caviar himself to ensure just the right degree of saltiness. The combinations of ingredients and sauces change over time, as he tinkers in search of the ideal, and thinks up his menu only after personally checking the quality of ingredients at the market. His wife, Noriko, writes up the menu daily, conveying the chef’s passion.",,,
BOTTEGA,"B1F, 5-17-8 Hiro, Shibuya-ku, Tokyo, 150-0012, Japan",Shibuya,Italian,¥¥¥,https://www.bottega-cucina.com/,1 Star,"Air conditioning,Counter dining","Chef Shohei Sasakawa travelled to Italy for a deep dive into its traditional cuisine. Tajarin with Fontina cheese is from Piemonte; tomato carbonara shows off his experience in Tuscany. Sasakawa strives for a tender texture in his pasta, which he starts kneading when the order is placed. ‘Bottega’ means workshop, and artisanal skill is certainly on display at this culinary atelier.",,,
Ishibashi,"2-4-29 Suido, Bunkyo-ku, Tokyo, 112-0005, Japan",Bunkyo/Sumida/Taito,Japanese,¥¥¥,http://unagi-ishibashi.com/,1 Star,"Air conditioning,Notable sake list,Shoes must be removed","Ishibashi has carried on the same traditions over four generations, since its foundation in 1910. The chef doesn’t start cutting the unagi until the customer is seated, and steams it before grilling, in the Kanto style. The caramel-coloured unagi richly encapsulates the charm of Edo culinary culture. We recommend the Tokujo (Deluxe), which packs generous amounts of unagi into a traditional stacking box. A full range of snacks includes pickles marinated in well-aged rice bran, and honesenbei.",,,
Yakitori Omino,"1-38-4 Oshiage, Sumida-ku, Tokyo, 131-0045, Japan",Bunkyo/Sumida/Taito,Japanese,¥¥¥,,1 Star,"Air conditioning,Counter dining","The staff, sporting twisted headbands on their close-cropped heads, serve yakitori with passion, keeping the skewers coming until the customer says ‘stop’. The chef uses whole chickens, so you can sample even rare cuts to your heart’s content. Of special note is the use of Kishu binchotan charcoal, grilled close to a roaring flame. Skewers are brushed with dashi stock, soy sauce and oil to wreathe them in fragrance. For best results, make your preferences known when you walk in.",,,
Ginza Kousui,"8F, 6-12-14 Ginza, Chuo-ku, Tokyo, 104-0061, Japan",Chuo,Japanese,¥¥¥,https://ginza-kousui.jp/,1 Star,"Air conditioning,Counter dining","Koshi Maeda, who moved his restaurant from Shizuoka to Ginza, always seeks out the best. Sakura ebi from Suruga Bay are a seasonal delight. Wasabi, teas and Koshihikari rice are all sourced from high-profile regions in Shizuoka. A believer in the importance of conveying the traditional culture of Japan, he weaves his hassun dishes around festivals throughout the year. Growing up looking at a view of Japan’s greatest mountain, Maeda has ambitions as tall as Mt. Fuji and his cuisine is as beautiful.",,,
Mutsukari,"6F, 5-5-19 Ginza, Chuo-ku, Tokyo, 104-0061, Japan",Chuo,Japanese,¥¥¥,http://www.mutsukari.com/,1 Star,"Air conditioning,Counter dining","Yoshihisa Akiyama strives for cuisine that gives voice to the individuality of his food producers. What fires his ambition are vegetables. He visits farmers across Japan, breathing in the mood of field and farm to inspire his ideas. O-hitashi (a boiled vegetable side dish) draws a portrait of the season; dishes like nikogori (jellied broth of meat or fish) unite the strengths of each ingredient. To watch him in action, ask to be seated at the 6th floor open kitchen; for a quiet ambience, request a table on the 7th floor.",,,
Oryori Katsushi,"3F, 8-7-19 Ginza, Chuo-ku, Tokyo, 104-0061, Japan",Chuo,Japanese,¥¥¥,,1 Star,"Air conditioning,Counter dining","When the bonito flakes start being shaved is the signal to start the meal. Katsushi Yoshitake especially prizes the fragrance of his dashi. He likes to experiment, while still respecting the traditions of Japanese cuisine. The chub mackerel sushi with red-vinegar rice was created with the help of his elder brother, a sushi chef. Meat dishes such as beef from short-horned cattle and locally-raised chicken are charcoal-grilled to bring out the power of the ingredients.",,,
Shokuzen Abe,"4F, 5-6-10 Ginza, Chuo-ku, Tokyo, 104-0061, Japan",Chuo,Japanese,¥¥¥,,1 Star,"Air conditioning,Counter dining","Yoshikazu Abe learned about giving thanks to nature from his mentor in Kyoto. Making it a firm principle to prepare dishes in tune with the seasons, he wastes nothing. Gorgeous hassun appetisers, nutritious white miso soup, and simmered vegetables from Ohara complete the mood of a feast in Kyoto. The key item in the menu is the rice cooked in a wood-fuelled stove. Enjoy the fresh-cooked rice on its own first, then savour delicious accompaniments like marinated pollack roe and dried sardines.",,,
Yuan Yamori,"3-9-7 Tsukishima, Chuo-ku, Tokyo, 104-0052, Japan",Chuo,Japanese,¥¥¥,,1 Star,"Air conditioning,Cash only,Counter dining,Shoes must be removed","Sobagaki, buckwheat soup, buckwheat salad: Akihisa Yamori’s love for buckwheat pours off the pages of his menu. Sashimi marinated in kaeshi, soba topped with nori and kamo nanban are just some of the delightful varieties of items. Don’t miss the juwari soba with a smooth finish just like nihachi. In a sign of the shop’s passion, soba on seiro racks is served by hand so you don’t miss a drop of the aroma. Yamori pursues Edo soba for the modern era while fully respecting tradition.",,,
Kabi,"4-10-8 Meguro, Meguro-ku, Tokyo, 153-0063, Japan",Meguro,Japanese,¥¥¥,http://kabi.tokyo/,1 Star,"Air conditioning,Counter dining","After studying the wonders of fermentation in Denmark, Chef Shohei Yasuda set out to adapt it into a culinary style of his own that would find favour in Japan. From a foundation of miso, pickles and other fermented products, Yasuda dreams up an assortment of creative dishes. Oils and powders extracted from vegetables and fruits are used to add flavour and texture. In true Japanese style, the set menu ends with a rice gruel filled with a range of ingredients.",,,
Yakumo Uezu,"1-3-9 Yakumo, Meguro-ku, Tokyo, 152-0023, Japan",Meguro,Japanese,¥¥¥,https://www.yakumo-uezu.com/,1 Star,"Air conditioning,Counter dining","Delightful surprises are the focus for owner-chef Naoki Uezu’s cuisine. Thinking outside the box is a habit he inherited from his mentor. In his tsukuri, for example, rather than rely on soy sauce, he flavours pairing tora fugu with caviar, or tilefish with karasumi, for their saltiness. White asparagus served in spring is used in takikomi-gohan or surinagashi, which are served at the end of the meal. From appetiser to dessert, the breadth of Uezu’s gastronomic vision is abundantly evident.",,,
TEN-MASA,"B1F, 3-16-13 Kamimeguro, Meguro-ku, Tokyo, 153-0051, Japan",Meguro,Japanese,¥¥¥,,1 Star,"Air conditioning,Counter dining","Masahiko Ashiki’s ‘Tenmasa kaiseki’ is an exposition of his gastronomic journey. The restaurant’s name was passed down from his parents’ tempura shop. The two-part menu begins with soup and appetiser, then moves on to tempura, learned from Ashiki’s father. Both sets of skills are on display in the tilefish fried with its scales still on: the rice in a Japanese tea broth with tempura uses basic soup stock; the tempura on a bed of rice is accompanied by a sauce inherited from Ashiki’s birthplace.",,,
Akanezaka Onuma,"3F, 3-12-2 Akasaka, Minato-ku, Tokyo, 107-0052, Japan",Minato,Japanese,¥¥¥,https://akanezakaonuma.jp/,1 Star,"Air conditioning,Counter dining","Mitsuharu Onuma respects the fundamentals of Japanese cooking while reflecting his unique take on it in his menus. The meal starts with fried tofu in season—‘in season’ because the tofu is steeped in seasonal aromas such as sakura shrimp, chestnut and Horikawa burdock. Hand-made soba is served in a chilled broth as an amuse-bouche. Vegetables, fruits and mushrooms raised by his parents in Yamagata are used in appetisers and sweet dishes. This cuisine is supported by the ingredients of Onuma’s birthplace and the bonds of family.",,,
Akasaka Kikunoi,"6-13-8 Akasaka, Minato-ku, Tokyo, 107-0052, Japan",Minato,Japanese,¥¥¥,https://kikunoi.jp/kikunoiweb/Top/index,2 Stars,"Air conditioning,Counter dining","‘Kirei-sabi’ describes the sentiments of third owner-chef Yoshihiro Murata: dishes that are beautiful and elegant, yet mature and stout of heart. For Kikunoi, successive innovation, rather than passing on a tradition unchanged, is tradition itself. The handling of ingredients knows no national boundaries here. Innovation at Kikunoi includes being the first in the Japanese gastronomic world to adopt the latest culinary implements.",,,
Akiyama,"6-5-3 Shirokane, Minato-ku, Tokyo, 108-0072, Japan",Minato,Japanese,¥¥¥,,1 Star,"Air conditioning,Counter dining","The gentle disposition of owner-chef Hideto Akiyama pervades the menu and his attentive and quick-witted flow of service is part of the appeal. For guests who prefer to drink, he offers snacks, while he provides a wider variety of dishes to guests who are here to dine. Dishes are generously accompanied by marinated tuna, beef simmered in soy sauce and mirin, and dried young sardines seasoned with soy and Japanese pepper. White rice cooked in earthenware pots closes out the meal.",,,
Jushu,"2-16-1 Nishiazabu, Minato-ku, Tokyo, 106-0031, Japan",Minato,Japanese,¥¥¥,,1 Star,"Air conditioning,Counter dining","Born in Karatsu, Masaaki Senzaki conveys the wonders of his native Saga through cuisine. As if to epitomize this desire, the shop curtain greets patrons with an image of a Eurasian magpie, the official bird of Saga Prefecture. Vegetables and seafood as well as Imari beef come from his homeland. Drawing on his experience at a kappo, Senzaki applies minimal food preparation, prizing the natural flavour of the fresh-cooked ingredients. A selection of sake from Saga is available.",,,
Nishiazabu Noguchi,"1-10-16 Nishiazabu, Minato-ku, Tokyo, 106-0031, Japan",Minato,Japanese,¥¥¥,,1 Star,"Air conditioning,Counter dining","Honest cooking that respects its ingredients testifies to Shotaro Noguchi’s reverence for the food of Japan. Examples include peony-shaped pike conger sprinkled with kudzu starch and served in soup, and white tilefish seasoned with sake and steamed. To wrap up, two types of rice in earthenware pots are served, one containing freshly cooked white rice and the other a seasonal takikomi gohan – rice with a variety of ingredients. These final dishes bring the seasonal aromas of Gumma, the native prefecture of Shotaro’s wife.",,,
Nishiazabu Otake,"1-4-23 Nishiazabu, Minato-ku, Tokyo, 106-0031, Japan",Minato,Japanese,¥¥¥,https://www.nishiazabu-otake.com/,1 Star,"Air conditioning,Counter dining","Chef Tatsuya Otake takes Japanese cuisine a step outside its comfort zone, determined to find flavours his customers will find delicious. Croquettes prepared with edamame and porcini mushrooms are his masterpiece. Inaniwa udon with firefly squid, and plum and abalone risotto suggest inspiration from Italian cuisine. Edible wild plants and game meats arrive from Gifu, the prefecture of Otake’s apprenticeship. In a lesson learned from his mentor, he treasures his relationships with producers.",,,
Nogizaka Shin,"8-11-19 Akasaka, Minato-ku, Tokyo, 107-0052, Japan",Minato,Japanese,¥¥¥,https://www.nogi-s.com/,1 Star,"Air conditioning,Counter dining,Interesting wine list","Shinji Ishida uses ‘Shin’ to express a desire to find the ‘new’ while respecting ‘core’ Japanese culinary traditions, both of which are ‘shin’ in Japanese. Shinjo made by combining sweet potato paste and crab meat bursts with individuality. Duck breast is char-grilled; thigh and liver are stuffed into steamed lily bulb dumplings. Sommelier Yasuhide Tobita’s pairings bring a ‘new’ (shin) way of thinking. In their renovated restaurant, the two partners’ spirits (also “shin”) paint the future of kappo.",,,
Shimbashi Sasada,"1-23-7 Nishishimbashi, Minato-ku, Tokyo, 105-0003, Japan",Minato,Japanese,¥¥¥,,1 Star,"Air conditioning,Counter dining","Owner-chef Hidenobu Sasada prepares the same dishes year after year, with the goal of continually perfecting and advancing his craft. His cuisine is drawn from the traditions of Kyoto gastronomy, so many of his ingredients are sourced in western Japan. In spring for example, Shirako Bamboo shoots from Tsukahara are simmered in dashi; in summer, ayu from Nara are grilled to plump perfection. Each dish is prepared with restraint and is delicious to look at, manifesting an admirable humility.",,,
Sorahana,"5-3-3 Toranomon, Minato-ku, Tokyo, 105-0001, Japan",Minato,Japanese,¥¥¥,,1 Star,"Air conditioning,Counter dining","To suggest a closeness to nature, Kanako Wakimoto named her restaurant Sorahana, ‘Sky Flower’. Raised amid the good earth and spreading fields, she reflects the changing of the seasons in her cooking. Appetisers are brightly adorned with flowers and leaves, very much as if the sky were in bloom. Tender flavours lovingly prepared bring a smile to the face. The sheer extravagance of the choices of beef dishes, rice dishes and desserts attests to the chef’s devotion.",,,
